dataset,prec,recall,f1,pos-ex,neg-ex,theta
transistor,0.000000,0.000000,0.000000,5,37323,0.700000,span,78.136545
transistor,0.000000,0.000000,0.000000,5,37323,0.700000,span,81.716729
transistor,0.000000,0.000000,0.000000,5,37323,0.800000,span,78.394477
transistor,0.000000,0.000000,0.000000,5,37323,0.800000,span,78.984693
transistor,0.000000,0.000000,0.000000,5,37323,0.800000,span,78.771125
transistor,0.000000,0.000000,0.000000,5,37323,0.900000,span,86.367218
transistor,0.000000,0.000000,0.000000,5,37323,0.900000,span,81.297559
transistor,0.000000,0.000000,0.000000,5,37323,0.900000,span,78.626299
transistor,0.000000,0.000000,0.000000,5,37323,1.000000,span,84.169616
transistor,0.000000,0.000000,0.000000,5,37323,1.000000,span,78.830123
transistor,0.000000,0.000000,0.000000,5,37323,1.000000,span,80.577876
president_mix,0.000139,1.000000,0.000277,18,171729,0.000000,span,227.293414
president_mix,0.000139,1.000000,0.000277,18,171729,0.000000,span,219.057214
president_mix,0.000139,1.000000,0.000277,18,171729,0.000000,span,215.758342
president_mix,0.000000,0.000000,0.000000,18,171729,0.100000,span,221.163372
president_mix,0.000000,0.000000,0.000000,18,171729,0.100000,span,221.633551
president_mix,0.000000,0.000000,0.000000,18,171729,0.100000,span,215.947302
president_mix,0.000000,0.000000,0.000000,18,171729,0.200000,span,216.802576
president_mix,0.000000,0.000000,0.000000,18,171729,0.200000,span,220.383113
president_mix,0.000000,0.000000,0.000000,18,171729,0.200000,span,234.156251
president_mix,0.000000,0.000000,0.000000,18,171729,0.300000,span,236.375824
president_mix,0.000000,0.000000,0.000000,18,171729,0.300000,span,228.954790
president_mix,0.000000,0.000000,0.000000,18,171729,0.300000,span,220.793512
president_mix,0.000000,0.000000,0.000000,18,171729,0.400000,span,220.035551
president_mix,0.000000,0.000000,0.000000,18,171729,0.400000,span,223.601157
president_mix,0.000000,0.000000,0.000000,18,171729,0.400000,span,232.832304
president_mix,0.000000,0.000000,0.000000,18,171729,0.500000,span,218.597277
president_mix,0.000000,0.000000,0.000000,18,171729,0.500000,span,221.158745
